,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
document_40,asli,pick,kecewa,harga,sesuai,slamet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_41,beli,toko,kali,kecewa,baju,warna,putih,kotor,baju,putih,kyknya,ukur,pakai,klw,noda,hilang,bintang,ubah,,,,,,,,,,,,,,,,,,,,,,
document_42,bagus,banget,bahan,tipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_43,kirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_44,baju,kotor,leher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_45,kaka,kerah,ko,bolong,kirim,jg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_46,kecewabngatkirain,katun,gkayak,kain,kafan,gitubahanya,jatuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_47,bahan,lumayan,harga,segitu,cuman,warna,kirim,beda,sma,foto,pesan,moca,tpi,gelap,foto,kyak,coklat,pramuka,,,,,,,,,,,,,,,,,,,,,,
document_48,kaliny,beli,kemeja,dsni,lembut,banget,lumayan,tebal,jg,pdhl,hargany,mahal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_49,kecewa,bahan,y,jelek,panas,warna,sesuai,ekspektasi,kancing,baju,y,sesuai,foto,harga,rupa,,,,,,,,,,,,,,,,,,,,,,,,,
document_50,kemeja,bagus,banget,nyesel,beli,tp,gapapa,pesan,hehe,makas,seller,amanah,mas,kurir,,,,,,,,,,,,,,,,,,,,,,,,,,
document_51,bahan,bagus,adem,dipake,tebal,kirim,barang,puas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_52,kirim,kualitas,produk,tipis,nerawang,mnyesal,belanja,d,toko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_53,terang,gambar,baju,kecewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_54,jelek,bgtnyeselbelinyabahanya,tipis,banget,gk,sesuai,ekspetasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_55,kecewa,model,kaku,banget,kaya,kerja,training,gambar,casual,gitu,huh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_56,kain,tipis,kemeja,kecil,pengirimanya,banget,nyesel,bnget,udh,pesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_57,model,tunik,cantik,warna,grey,cantik,harga,reasonable,pengirimanya,banget,its,a,god,product,though,,,,,,,,,,,,,,,,,,,,,,,,,
document_58,pesan,nyamapai,ni,kirim,mingu,bahan,jelek,harga,gin,mahal,bahan,tipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_59,warna,abu,gelap,jd,wrn,hitam,ukuranya,jd,xl,xl,bahan,tipis,tebal,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_60,bahan,adem,bagus,salah,kirim,warna,sen,warna,biru,kirim,warna,grey,rit,anteraja,ramah,,,,,,,,,,,,,,,,,,,,,,,,,
document_61,trimksh,sdh,sampaibhn,agk,tipis,tp,lembut,kirain,warna,abu,muda,pict,eh,abu,gelap,seprti,kali,pictnya,ganti,biar,beli,g,kecewa,saran,aja,jual,beli,smga,kdepnya,lbh,,,,,,,,,,
document_62,warna,sesuai,fototerlalu,gelap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_63,paket,q,uda,sampe,selamat,tp,syng,kecewa,wrny,beda,abu,tua,tu,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_64,kecewa,bahan,tipis,bangat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_65,nyampenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_66,warna,jreng,banget,kirain,sof,jreng,ngeri,make,cocok,badan,bingung,pake,celana,wrna,enk,wrnanya,mending,ambil,wrna,klo,beli,jng,cho,klo,model,mending,la,,,,,,,,,,,,,
document_67,warna,nyala,tpi,kalo,foto,gitu,gk,tau,trus,kain,licin,enak,si,kalo,dipake,suka,bingung,stylenya,gimana,lenga,sampe,siku,suka,banget,tpi,jahit,bgian,dalem,rpi,dirapihin,,,,,,,,,,
